TotalHouseArea,TotalBathrooms,HouseAge,RemodelAge,TotalPorchSF
3235,2.5,1,1,254
3112,3.5,1,0,102
2552,1.0,51,51,0
2112,2.0,51,51,264
2948,3.5,1,1,144
2036,1.0,83,60,130
3177,3.0,15,15,383
2680,2.0,0,0,130
2072,1.5,28,28,0
3994,3.5,89,57,0
1890,2.5,67,57,0
2112,2.0,42,42,269
2688,4.0,11,10,0
3204,2.5,32,9,240
1976,1.0,54,54,0
4100,3.5,10,10,66
2392,2.0,52,52,44
2040,1.5,63,17,126
3162,3.5,20,20,476
1814,1.0,51,51,0
2416,3.0,0,0,159
2804,3.0,21,21,169
1470,1.5,37,37,0
2099,1.0,88,10,98
2130,2.5,36,36,276
2530,2.5,11,10,36
1260,2.0,36,36,88
2460,3.5,13,13,219
1766,1.0,86,56,0
1788,1.0,83,5,105
1134,1.0,94,5,34
1880,1.0,89,9,46
5496,3.0,1,1,242
2880,2.0,53,53,0
2651,2.0,78,16,0
2516,2.0,1,0,160
2823,3.5,14,13,277
3125,1.0,53,53,0
3405,2.5,44,8,0
2816,2.5,8,7,89
2156,2.0,69,56,0
1832,1.5,59,5,176
1626,1.0,76,1,113
3066,3.0,31,31,254
2628,3.5,11,10,266
2358,2.5,1,1,30
3456,4.0,30,30,0
2484,1.5,34,34,0
1968,1.0,92,58,96
3027,2.0,54,14,361
2254,1.0,83,12,255
1912,2.0,59,59,248
2767,3.5,0,0,150
1695,2.0,73,2,256
1728,1.0,44,44,236
2375,1.5,74,13,0
2080,2.0,31,31,0
2789,2.0,2,2,164
2554,2.0,37,37,176
2372,1.5,65,12,168
3260,2.0,1,1,44
2542,2.5,15,15,214
2990,2.5,25,25,194
2777,2.5,30,30,276
1619,2.0,3,3,28
3952,3.0,1,0,313
3146,3.0,7,7,144
1940,2.0,44,44,216
2971,3.0,11,10,179
4796,2.5,1,1,498
3423,3.0,2,1,252
2038,1.0,70,7,72
3683,3.0,2,1,631
3584,3.0,3,2,255
2736,2.5,94,4,0
2432,3.0,8,8,125
1998,2.0,45,6,132
2226,1.0,59,2,200
2146,2.5,42,42,0
2968,2.0,36,36,404
3368,2.0,106,36,142
1260,2.0,39,7,0
1568,1.5,32,32,165
2384,2.0,65,56,32
2184,2.5,0,0,0
2538,1.5,48,48,0
1076,1.0,71,13,244
1440,1.0,89,59,638
6428,4.0,15,14,630
2846,3.0,83,58,100
1763,1.0,42,5,64
1824,1.5,49,22,297
1890,1.5,34,34,172
2634,2.5,3,3,108
2428,2.0,42,42,184
3302,3.0,51,13,215
2177,3.0,35,35,260
2920,2.0,57,57,0
2688,2.5,13,12,263
2436,2.0,0,0,102
2067,2.0,80,3,116
2082,2.0,50,50,312
2371,2.0,58,9,534
2736,2.0,1,0,167
1728,2.0,48,48,0
2164,1.5,24,24,278
1557,1.0,81,57,112
4026,3.5,0,0,210
2808,2.5,37,37,104
3608,2.5,13,12,220
2590,3.5,9,9,36
3356,1.5,83,5,145
1294,2.0,108,8,544
2488,1.5,50,50,40
2668,2.0,59,56,60
7814,4.5,0,-1,614
3777,3.5,11,10,299
2523,2.0,1,1,182
1856,1.0,51,7,417
4165,3.5,0,0,192
1133,2.0,87,5,144
4550,4.0,50,32,200
2970,3.0,20,19,224
1973,2.0,88,9,84
827,1.0,55,3,0
334,1.0,61,57,0
2121,2.5,2,2,135
2464,2.0,98,17,233
2604,2.5,10,9,275
1728,1.0,36,36,216
2210,1.5,38,38,466
3182,3.0,9,8,180
3676,3.0,3,3,338
3254,2.5,7,7,56
3330,3.0,11,10,151
1490,2.0,9,9,160
2150,3.5,0,0,124
3387,2.5,18,18,0
2700,1.5,84,57,182
1536,2.0,37,37,104
1650,2.0,53,13,190
3006,2.5,6,5,364
2138,2.0,31,31,255
1856,1.0,51,51,0
3426,2.0,3,3,208
1126,2.0,60,6,96
3044,3.5,5,4,382
2041,1.0,84,56,116
2184,2.0,49,49,390
1973,1.5,86,56,167
2175,3.0,12,11,286
2931,2.0,3,2,163
2784,2.5,53,14,95
2778,2.0,32,31,278
1992,2.0,68,39,144
2837,2.0,90,58,252
3390,3.5,14,6,40
2453,2.5,95,60,202
3626,2.5,3,1,183
3052,2.0,6,6,0
3628,2.5,26,0,389
1886,2.0,27,27,42
3456,2.0,43,43,0
1728,2.0,47,47,168
2538,2.5,0,0,322
1814,2.5,7,7,100
1481,1.5,36,2,35
2048,1.0,61,58,260
2338,2.5,81,59,50
2484,2.0,40,40,468
2081,2.0,1,1,102
2845,2.0,54,54,0
2573,1.5,47,20,326
4084,2.5,1,0,90
1632,2.0,17,17,32
4012,3.5,115,8,607
2457,1.0,74,14,174
3896,3.0,1,0,392
1654,2.0,90,8,112
1700,2.0,27,27,0
2910,3.0,41,6,108
1521,1.0,78,48,0
2352,2.5,4,4,45
4018,3.5,1,1,656
1632,2.0,26,5,0
1696,2.0,6,6,140
1848,1.0,33,33,0
3640,3.0,1,0,375
2052,1.0,96,13,158
2660,2.0,1,0,136
3077,3.0,29,29,0
2272,3.5,28,28,161
2962,3.5,1,1,239
2155,1.5,70,57,288
2823,3.5,14,14,270
1800,2.5,6,5,172
2988,3.0,6,6,228
2754,2.5,44,19,231
2080,2.0,13,13,168
2904,4.0,58,4,103
4159,2.5,73,9,0
2058,2.0,46,46,103
3593,3.5,9,9,395
2064,2.5,29,29,0
3171,3.5,8,8,282
2240,1.0,0,0,30
1260,2.0,38,38,120
1990,2.0,47,47,120
2292,3.5,4,3,175
1664,1.0,54,54,0
3650,2.0,0,0,368
3744,3.5,5,5,168
1728,2.0,94,58,100
4136,2.5,34,11,281
1960,1.0,32,32,192
2268,2.5,7,7,32
2522,3.0,34,34,295
2232,1.5,48,48,385
2400,1.0,47,29,36
2676,2.0,55,38,189
3120,2.5,38,38,335
2598,2.5,44,44,176
2386,1.0,126,15,293
3108,2.0,1,1,229
2797,2.0,32,32,192
2112,1.5,53,2,390
2112,2.0,30,30,320
4320,2.0,93,12,110
1064,1.0,73,59,0
2198,2.0,55,55,0
1592,1.0,98,58,492
3087,3.0,0,0,312
3036,1.5,5,4,325
2986,3.5,6,6,235
4656,3.5,37,14,380
2400,2.5,38,38,208
3532,3.5,0,0,325
1962,2.5,36,36,352
1048,1.0,58,58,27
2188,1.0,55,55,287
2595,1.5,44,44,340
1260,2.0,37,37,0
2478,2.5,1,1,0
2265,2.0,69,59,120
2596,2.5,13,13,120
2225,1.0,102,13,296
4222,3.5,13,13,282
1617,1.5,39,39,0
2106,2.5,49,2,0
2278,1.5,77,8,112
2370,1.5,62,60,192
2972,2.0,45,10,0
2728,2.5,31,31,365
4077,3.5,15,4,593
2784,2.0,41,41,240
2319,3.0,36,36,180
4174,2.5,1,0,459
3342,2.5,6,6,312
3401,2.5,42,28,265
3087,3.0,14,10,266
2625,2.5,50,19,304
1880,1.0,84,56,67
2214,3.5,4,4,135
2041,3.0,84,59,147
2416,2.5,29,29,240
3316,3.0,50,3,287
2272,2.0,43,43,426
2296,2.5,31,31,28
2869,3.0,106,56,90
1560,1.0,85,3,436
4092,2.5,1,1,404
1976,2.0,46,46,0
1846,2.0,30,30,80
2313,1.0,77,9,56
2582,2.0,12,11,307
3294,3.0,5,5,302
3034,2.5,12,12,81
3280,3.0,23,23,219
2635,3.0,0,0,249
1653,2.5,3,3,60
2838,3.0,0,0,140
2724,2.0,2,1,220
1696,2.0,4,4,149
6760,4.0,13,12,432
3729,3.5,17,16,347
2146,1.0,85,38,112
2466,1.5,73,59,112
2249,3.0,19,19,125
1232,1.0,85,56,129
2128,1.5,54,54,0
1788,2.0,45,1,560
2782,2.0,4,4,314
3600,3.0,4,4,348
2328,1.5,37,37,0
3810,2.5,0,0,424
2172,2.0,110,14,384
2957,3.0,6,5,179
1092,2.0,80,60,0
3467,3.0,36,5,428
2648,3.0,3,3,230
2184,2.5,0,0,124
1780,1.0,42,42,0
999,1.0,73,5,0
2037,1.0,110,60,166
2456,3.0,20,19,288
1920,2.0,36,36,288
2204,2.5,34,5,44
2414,2.0,35,35,0
3272,1.5,117,9,191
2354,2.0,35,8,224
3729,3.5,15,14,620
1942,1.5,37,37,0
3484,3.0,21,21,376
1696,2.0,6,6,160
1728,1.0,39,39,0
2411,2.0,54,36,156
3396,3.0,2,1,391
1728,1.0,39,39,96
2560,3.0,21,2,518
2464,3.0,2,2,132
3360,3.0,51,51,25
1628,1.0,84,59,135
3211,3.0,15,14,389
2014,3.0,4,4,182
3184,2.5,10,9,276
2008,2.0,48,26,165
1896,1.0,39,39,147
2648,1.5,92,36,341
1040,2.0,56,56,0
2694,2.5,1,1,116
2400,6.0,22,21,120
2592,2.5,5,5,243
1696,2.0,97,5,382
1824,2.5,47,12,168
2698,2.0,7,6,175
1984,2.5,46,10,402
2674,3.0,15,15,334
3857,4.0,32,12,204
3208,2.5,9,9,278
3880,1.5,129,6,567
3440,3.0,14,14,450
1529,2.0,64,59,277
1716,1.0,100,6,160
1980,2.5,4,4,48
2973,3.0,9,9,195
3128,2.5,1,1,244
2052,2.0,40,4,219
2200,2.5,10,10,24
2634,2.5,2,2,249
2058,2.5,32,32,335
2245,2.5,9,9,0
3849,2.5,12,12,320
1728,1.0,50,50,0
2446,1.0,85,59,0
2303,2.5,1,1,214
3617,3.5,10,10,308
2988,2.5,11,10,246
3004,2.0,0,0,174
2694,2.5,22,22,450
2733,3.0,68,23,401
3696,2.0,2,1,153
4929,4.5,7,7,749
1716,2.0,27,27,120
2056,1.0,55,55,0
2146,2.0,34,34,144
1824,1.0,49,49,0
3908,2.0,1,1,360
2408,3.0,11,11,247
3228,2.0,1,0,203
1758,2.0,32,32,241
2020,2.0,30,30,0
1979,2.0,29,29,0
2490,2.0,12,11,241
2364,2.5,14,14,124
2843,2.0,8,7,33
2207,2.0,31,31,333
2226,2.0,94,7,425
2714,2.0,42,42,197
2338,3.0,95,60,196
3040,3.5,6,6,45
1802,1.0,54,8,0
2919,2.5,41,0,301
2290,2.0,4,3,116
2091,2.0,31,31,120
3130,3.5,11,10,310
2992,2.0,0,0,298
2607,2.5,14,12,189
2214,2.5,30,29,254
1945,1.5,30,30,138
1546,1.0,55,55,0
5066,3.5,1,0,222
2499,2.5,70,57,264
2304,3.5,11,11,702
2392,2.0,91,17,0
2184,3.5,3,3,54
4556,3.5,1,0,414
2064,1.0,52,52,0
2845,2.0,0,0,60
1960,2.0,39,39,68
2900,3.5,86,5,312
2110,2.0,40,40,0
2987,2.0,111,44,196
2349,2.5,32,7,265
1696,2.0,4,4,140
1584,1.0,58,58,0
2884,1.5,49,49,275
1936,2.0,88,56,303
3310,2.0,12,12,34
2016,1.0,52,52,120
3257,3.0,6,6,209
2062,2.0,39,39,0
2716,3.0,1,0,227
2438,2.5,5,5,45
1872,1.0,56,56,144
2580,2.5,4,4,148
2267,2.0,69,59,335
2978,2.0,0,0,140
4162,3.0,1,0,233
1568,2.0,84,58,116
2888,2.0,8,8,329
3139,3.0,42,42,711
1743,2.5,1,1,166
2784,2.5,51,51,192
1720,2.5,1,1,166
2770,3.5,7,7,231
3032,1.5,45,45,152
2288,2.0,47,47,0
2134,2.0,60,15,290
3118,2.0,59,34,346
1470,2.5,35,35,0
2198,1.5,13,2,278
1968,1.0,62,13,0
2154,2.0,83,58,254
2189,2.0,104,6,216
2292,2.5,42,42,129
3600,2.0,46,46,0
2292,1.5,93,58,612
3091,3.0,32,26,0
2515,3.5,16,16,498
1728,2.0,37,37,0
3265,3.0,100,11,701
2383,2.5,31,13,213
1696,2.0,4,4,140
2729,2.0,3,3,163
2564,2.0,66,57,126
2572,1.5,45,45,180
3542,2.5,51,32,730
2080,2.5,48,0,104
1966,2.0,30,30,34
2183,2.5,15,14,36
2460,2.0,33,33,0
3708,3.5,38,22,287
2338,1.5,89,9,240
2078,2.5,45,45,0
2137,2.0,26,25,0
2296,2.0,50,50,0
2744,2.0,1,0,140
2004,2.0,39,39,0
3284,2.0,1,0,272
2160,2.5,46,46,168
2267,2.0,58,56,264
2999,3.5,17,16,246
1788,1.0,47,47,0
2486,2.5,12,12,77
1015,1.0,55,12,346
1868,1.0,60,59,28
1807,1.5,68,59,26
3794,2.5,0,0,572
2104,2.0,44,44,0
3686,3.5,5,4,184
2264,2.0,49,15,192
1728,2.0,31,4,0
2180,2.5,2,1,49
2873,2.5,17,16,204
2401,2.5,17,16,382
2544,2.0,94,56,188
1784,1.0,42,42,0
3407,3.0,9,8,162
3338,2.0,47,1,326
2209,1.5,53,53,386
4434,3.0,37,37,512
3010,2.0,56,56,162
1596,1.0,58,1,0
2601,2.5,31,31,243
2127,1.5,43,3,192
2766,2.0,54,54,627
1535,2.0,30,30,0
2576,2.5,45,45,50
1902,1.0,70,56,28
2240,2.0,30,30,154
4694,3.5,1,0,67
2148,1.0,45,12,0
1716,1.0,36,36,0
2298,2.0,52,9,0
2292,2.5,3,3,75
3340,2.0,0,0,204
1778,1.0,40,40,0
2119,2.0,56,56,164
3259,3.0,1,1,60
3074,1.5,70,19,322
1766,2.0,23,23,164
2226,2.5,4,4,60
3379,2.0,50,50,0
2536,1.5,32,20,173
1783,1.0,81,56,232
3003,2.0,58,57,0
1836,2.5,0,0,234
1638,1.5,37,37,0
960,1.0,57,56,0
2363,1.0,53,53,0
3231,3.5,16,16,488
2598,2.0,50,6,241
2649,3.0,13,13,387
3472,5.0,108,5,70
2632,2.0,1,0,123
3221,3.0,15,14,69
3372,3.0,26,26,515
2252,2.5,31,31,180
3555,2.5,4,3,204
2810,2.5,40,40,43
3541,2.0,8,8,353
3200,2.5,9,9,0
2932,2.0,2,2,118
1850,1.5,44,44,0
3810,2.0,1,1,191
3000,2.0,5,5,228
2654,3.0,48,1,0
1347,1.0,80,53,32
2376,3.0,6,6,41
3084,2.5,4,4,48
3353,2.5,0,0,90
3435,2.0,70,60,374
3456,2.0,30,30,40
3052,3.5,10,10,168
2880,4.0,30,30,321
3264,2.0,40,40,0
2163,1.5,51,51,351
2837,1.0,119,13,292
2288,2.0,47,47,86
3245,3.0,5,4,252
2712,2.5,4,4,240
2542,2.5,38,4,0
1728,2.0,57,5,194
1793,2.0,41,41,421
1536,1.5,37,6,192
2752,3.0,39,39,494
1925,3.0,31,31,0
2937,2.0,61,57,0
1790,1.5,29,29,150
2114,1.0,45,45,0
2674,3.0,4,4,39
2112,3.5,11,11,44
1716,2.0,52,2,117
4202,3.5,31,13,832
2352,3.5,31,31,48
3600,2.0,2,2,424
2711,3.5,8,7,40
2267,2.5,2,0,72
2036,2.5,69,59,70
2196,2.0,53,53,0
1568,1.0,99,59,0
1683,2.0,48,48,0
1912,1.5,57,56,0
2390,2.0,6,5,27
1836,2.0,31,31,28
2856,2.0,1,0,120
2747,1.0,99,16,644
2055,3.5,6,6,203
1309,1.0,83,48,0
2482,2.5,1,0,116
1788,1.0,53,53,0
2242,2.0,46,46,80
1943,2.0,47,1,220
3837,3.5,11,10,250
2532,2.0,1,1,116
3418,2.5,6,6,0
1734,2.0,32,32,0
2328,2.0,58,58,48
2120,1.0,96,3,394
3870,3.5,1,0,263
2878,2.5,31,31,224
2346,2.5,0,0,50
3788,3.5,9,8,70
2658,1.5,127,23,169
2673,2.5,43,14,281
2250,2.5,1,0,35
3418,3.0,3,2,264
1977,2.5,60,56,120
2100,2.0,45,45,319
2884,2.0,39,39,371
2084,1.0,84,56,148
2395,3.0,4,4,166
944,1.0,57,57,0
1382,1.0,87,57,114
3148,2.0,2,2,248
3360,2.0,31,31,0
2850,2.0,4,3,156
1970,2.0,31,31,210
3314,2.5,37,37,147
1638,1.5,39,39,238
3420,2.0,5,4,328
2016,2.0,80,56,138
1991,2.0,60,58,108
1664,2.0,45,45,0
2104,1.5,84,11,261
2044,2.0,99,3,256
2164,1.0,59,57,130
2475,3.5,8,8,45
3008,3.0,13,13,181
2580,2.0,25,25,63
1856,2.5,16,15,164
2868,2.0,1,1,162
2264,2.5,3,3,316
2419,3.0,0,0,159
2160,1.0,77,57,192
2850,2.0,3,2,176
4463,3.0,32,32,246
1764,2.0,35,35,96
2532,2.0,50,50,143
3284,3.0,1,0,236
2144,2.0,66,57,0
1890,2.0,34,34,28
2614,2.0,90,11,228
3509,3.5,89,39,199
3858,3.5,13,13,264
3308,3.0,4,4,136
1874,1.0,69,57,0
845,1.0,52,52,186
3240,3.0,2,1,228
3318,2.5,7,6,234
1890,1.5,39,1,0
1260,2.0,39,39,0
2937,3.0,49,6,0
2432,2.0,42,8,40
2612,3.0,4,4,233
3804,3.5,18,18,313
5048,3.5,28,28,594
1733,2.0,54,54,0
4860,3.5,1,0,322
1980,1.5,14,13,0
1771,1.0,49,3,0
930,1.0,64,4,0
2604,2.0,0,0,22
2632,2.0,0,0,20
2793,2.0,43,29,52
2742,1.0,53,8,194
3054,3.5,4,4,259
2716,2.5,32,32,189
2728,3.0,1,1,228
2823,2.5,15,15,266
3288,3.5,1,1,102
2845,1.5,75,57,19
2676,3.0,9,9,170
1788,1.0,73,58,20
2999,2.0,107,57,57
2206,1.0,81,26,286
2308,1.5,43,43,58
3566,3.5,14,13,340
2370,2.5,16,15,40
2391,2.5,44,44,645
3463,3.5,33,33,748
1738,1.5,58,4,0
2096,2.0,51,51,212
